month-year,88.1 users,88.2 users,88.3 users
2025-07,1,0,0
2025-08,1,1,1
2025-09,123,6,17
2025-10,82,9,14
2025-11,79,3,17
2025-12,13,1,20
2026-01,6,4,14
2026-02,4,0,9
2026-03,3,2,9
